Number,Date,Account,Amount,Subcategory,Memo
4,12/07/2024,23-34-45 23232323,-87,Card Purchase,"giffgaff              	ON 11 JUL BCC	"
"	3",11/07/2024,23-34-45 23232323,-3.21,Contactless Card Purchase,"MAYO BROTHERS LTD     	ON 10 JUL CLP	"
"	9",11/07/2024,23-34-45 23232323,-7.37,Contactless Card Purchase,"MARKS&SPENCER PLC     	ON 10 JUL CLP	"
"	0",11/07/2024,23-34-45 23232323,-796,Card Purchase,"Chess House Dental    	ON 10 JUL BCC	"
"	4",10/07/2024,23-34-45 23232323,-26.2,Contactless Card Purchase,"MARKS&SPENCER PLC     	ON 09 JUL CLP	"
"	5",09/07/2024,23-34-45 23232323,727.5,Counter Credit,"NH551790D DWP BB      	087361930986692098 BG"
"	3",08/07/2024,23-34-45 23232323,-27.34,Contactless Card Purchase,"MARKS&SPENCER PLC     	ON 07 JUL CLP	"
"	8",08/07/2024,23-34-45 23232323,-31,Funds Transfer,"ANTONELLA COLINO      	PHILIP COGSWELL FT	"
"	088167",08/07/2024,23-34-45 23232323,-29,Direct Debit,"ZEN INTERNET LTD      	354237206125074230 DD"
"	4",08/07/2024,23-34-45 23232323,-69.05,Contactless Card Purchase,"Zettle_*Wenzels th    	ON 05 JUL CLP	"
"	6",08/07/2024,23-34-45 23232323,-59.6,Card Purchase,"HTTPS://WWW.SMOKYB    	ON 06 JUL BCC	"
"	8",08/07/2024,23-34-45 23232323,-57,Contactless Card Purchase,"SUMUP *FOOTLUZ BOD    	ON 05 JUL CLP	"
"	8",08/07/2024,23-34-45 23232323,-93.28,Contactless Card Purchase,"MAYO BROTHERS LTD     	ON 05 JUL CLP	"
"	6",08/07/2024,23-34-45 23232323,-41.53,Contactless Card Purchase,"MARKS&SPENCER PLC     	ON 05 JUL CLP	"
"	1",05/07/2024,23-34-45 23232323,-84.22,Contactless Card Purchase,"MAYO BROTHERS LTD     	ON 04 JUL CLP	"
"	610720",04/07/2024,23-34-45 23232323,-49,Direct Debit,"THE WINE SOCIETY      	VCPC978853 DDR	"
"	503274",04/07/2024,23-34-45 23232323,-64,Direct Debit,"THE WINE SOCIETY      	VCPC731779 DDR	"
"	2",03/07/2024,23-34-45 23232323,349,Counter Credit,"RAVIK&GURUPAR         	Flat 2 BGC	"
"	7",03/07/2024,23-34-45 23232323,-35.45,Card Purchase,"MARKS&SPENCER PLC     	ON 02 JUL BCC	"
"	0",02/07/2024,23-34-45 23232323,-99.14,Card Purchase,"GOOGLE Google Play    	ON 30 JUN BCC	"
"	1",01/07/2024,23-34-45 23232323,-6.1,Contactless Card Purchase,"MARKS&SPENCER PLC     	ON 30 JUN CLP	"
"	1",01/07/2024,23-34-45 23232323,-807,Standing Order,"BENEDICT COGSWELL     	POCKET MONEY STO	"
"	7",01/07/2024,23-34-45 23232323,-639,Standing Order,"C D T COGSWELL        	MONTHLY ALLOWANCE STO"
