Number,Date,Account,Amount,Subcategory,Memo
null,01/05/2018,12-34-56 12121212,3.17,OTH,INTEREST PAID GROSS   FOR PERIOD  3APR/30APR
null,03/04/2018,12-34-56 12121212,3.74,OTH,INTEREST PAID GROSS   FOR PERIOD  1MAR/ 2APR
null,01/03/2018,12-34-56 12121212,3.17,OTH,INTEREST PAID GROSS   FOR PERIOD  1FEB/28FEB
null,01/02/2018,12-34-56 12121212,3.39,OTH,INTEREST PAID GROSS   FOR PERIOD  2JAN/31JAN
null,02/01/2018,12-34-56 12121212,3.62,OTH,INTEREST PAID GROSS   FOR PERIOD  1DEC/ 1JAN
null,01/12/2017,12-34-56 12121212,2.54,OTH,INTEREST PAID GROSS   FOR PERIOD  1NOV/30NOV
null,01/11/2017,12-34-56 12121212,2.54,OTH,INTEREST PAID GROSS   FOR PERIOD  2OCT/31OCT
null,02/10/2017,12-34-56 12121212,2.62,OTH,INTEREST PAID GROSS   FOR PERIOD  1SEP/ 1OCT
null,01/09/2017,12-34-56 12121212,2.63,OTH,INTEREST PAID GROSS   FOR PERIOD  1AUG/31AUG
null,29/08/2017,12-34-56 12121212,-70,FT ,233445 23232323    FT 
null,25/08/2017,12-34-56 12121212,70,OTH,M1 AMERSHAM           100010             ASD
null,01/08/2017,12-34-56 12121212,2.45,OTH,INTEREST PAID GROSS   FOR PERIOD  3JUL/31JUL
null,03/07/2017,12-34-56 12121212,2.7,OTH,INTEREST PAID GROSS   FOR PERIOD  1JUN/ 2JUL
null,01/06/2017,12-34-56 12121212,2.53,OTH,INTEREST PAID GROSS   FOR PERIOD  2MAY/31MAY
