02-Dec-24, Payment By Direct Debit ,n/a,MR P COGSWELL,,-651.94,
02-Dec-24," Zettle_*Chesham Alloy Whe, Chesham ",Visa,MR P COGSWELL,Shopping,,472
01-Dec-24," Steamgames.Com 1963142910, Hamburg35.95 POUND STERLING GERMANY ",Visa,MR P COGSWELL,,,43.73
30-Nov-24," eBay O*00-73411-10755, London ",Visa,MR P COGSWELL,Shopping,,25.2
30-Nov-24," Deepmatter, London ",Visa,MR P COGSWELL,Shopping,,80
28-Nov-24," Netflix.Com, 48867934461 ",Visa,MR P COGSWELL,Bills/Utilities,,81.69
22-Nov-24," Spotify Limited, London ",Visa,MR P COGSWELL,Bills/Utilities,,78.27
22-Nov-24," Shell 24-77 Woodside Road, Amersham ",Visa,MR P COGSWELL,Automotive,,659.52
16-Nov-24," Epoch.Com   *Erikalust, Barcelona64.68 U.S. DOLLAR SPAIN Transaction Fee £3.32",Visa,MR P COGSWELL,Business,,29.19
15-Nov-24," John DOE Carpets and FU, Diss ",Visa,MR P COGSWELL,Household,,740
14-Nov-24," A Medium Corporation, 15253841676.71 U.S. DOLLAR USA Transaction Fee £8.29",Visa,MR P COGSWELL,Business,,3.35
13-Nov-24," Pocket, Getpocket.Com45.85 U.S. DOLLAR USA Transaction Fee £4.52",Visa,MR P COGSWELL,Shopping,,71.59
10-Nov-24," Amazon Prime*T35K064Q9, amzn.co.uk/pm ",Visa,MR P COGSWELL,Fees,,48
08-Nov-24," Gamefound, Wroclaw04.28 POUND STERLING POLAND ",Visa,MR P COGSWELL,Leisure,,13
07-Nov-24," Amazon* TX5IW7WJ9, London ",Visa,MR P COGSWELL,Shopping,,538.22
06-Nov-24," Audible UK, adbl.co/pymt ",Visa,MR P COGSWELL,Fees,,8.59
